Titre,Lien,Image,Description
Le MENFP s’associe avec des fédérations sportives pour encourager la pratique du sport en milieu scolaire,https://lenouvelliste.com/article/246430/le-menfp-sassocie-avec-des-federations-sportives-pour-encourager-la-pratique-du-sport-en-milieu-scolaire,https://media.lenouvelliste.com/articles/2024-01-19/IMG7920_2955.JPG,"Le ministère de l’Éducation nationale et de la Formation professionnelle (MENFP) a signé trois protocoles d’accord avec les Fédérations haïtiennes de football, de basketball et de volley-ball, le vendredi 19 janvier 2024, au local de l’Inspection générale de l’Éducation nationale, à Musseau. Cette cérémonie, qui s’est déroulée en présence du ministre de l’Éducation nationale, Nesmy Manigat, et de représentants desdites fédérations, rentre dans le cadre des efforts déployés par le MENFP pour valoriser le sport dans les écoles."
« Haïti-Louisiane: les Marées de la Liberté »,https://lenouvelliste.com/article/246428/haiti-louisiane-les-marees-de-la-liberte,https://media.lenouvelliste.com/articles/2024-01-19/IMG7968_5262.jpeg,"Au 113 de la rue Chartres, Nouvelle-Orléans, ce vendredi 12 janvier 2024, les tambours du groupe RAM résonnent."
Lol Fest Caraïbes 2024 vous attend !,https://lenouvelliste.com/article/246432/lol-fest-caraibes-2024-vous-attend,https://media.lenouvelliste.com/articles/2024-01-19/LolFestCarabes2024_7249.jpg,Le Festival international du rire (LolFestCarïbes) revient en Haïti pour son édition 2024. Il se tiendra à Port-au-Prince du 19 au 21 janvier.
C’est parti pour la 17e édition du PaPJazz,https://lenouvelliste.com/article/246433/cest-parti-pour-la-17e-edition-du-papjazz,https://media.lenouvelliste.com/articles/2024-01-19/Lancementdu17eeditionduPapJazzvueduPanel_8733.jpg,"Le festival international de jazz de Port-au-Prince (PaPJazz) a été officiellement lancé le jeudi 18 janvier 2024 par la Fondation Haïti Jazz, son organisateur. Cette grande manifestation culturelle qui se déroulera dans la capitale haïtienne du 25 au 28 janvier sera l’occasion pour des artistes de sept pays différents de faire connaissance avec les amoureux du jazz en Haïti."
"Attaques armées et images de peyi lòk à Port-au-Prince, manifestations en province",https://lenouvelliste.com/article/246403/attaques-armees-et-images-de-peyi-lok-a-port-au-prince-manifestations-en-province,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0014_8173.jpg,"

Port-au-Prince s’est réveillée sous tension ce jeudi 18 janvier 2024."
Solidarité en Haïti et dans le monde pour réclamer la libération de Douglas Pape,https://lenouvelliste.com/article/246421/solidarite-en-haiti-et-dans-le-monde-pour-reclamer-la-liberation-de-douglas-pape,https://media.lenouvelliste.com/articles/2024-01-19/Screenshot20240118225554Chrome_3929.jpg,"Douglas Pape, le fils du docteur Jean William Pape, enlevé depuis le 28 novembre dernier, est encore aux mains de ses ravisseurs malgré plusieurs rançon versées. De nombreuses voix, en Haïti et à l’étranger ne cessent d’exiger sa libération."
L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord national,https://lenouvelliste.com/article/246405/loea-exclut-toute-possibilite-dune-transition-dans-la-transition-et-souhaite-un-accord-national,https://media.lenouvelliste.com/articles/2021-08-11/LogoNouvelliste6950_9614.jpg,"La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti convoquée par la secrétaire générale de l’OIF a été l’occasion de débattre des perspectives pour une sortie de crise. Présent à cette réunion qui s’est tenue au pavillon d’Armenonville de Paris, Cristobal Dupouy, représentant spécial du secrétaire général de l’Organisation des États américains (OEA) en Haïti a présenté l’analyse et les perspectives de l’OEA pour une résolution de la crise en Haïti."
Dans l’attente de la réponse du gouvernement,https://lenouvelliste.com/article/246422/dans-lattente-de-la-reponse-du-gouvernement,,"

Plusieurs départements du pays se sont réveillés en effervescence cette semaine."
"Des annonces et des promesses pour favoriser une sortie de crise en Haïti, lors de la réunion de l’OIF",https://lenouvelliste.com/article/246406/des-annonces-et-des-promesses-pour-favoriser-une-sortie-de-crise-en-haiti-lors-de-la-reunion-de-loif,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0045_1012.jpg,"La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti de l’Organisation internationale de la francophonie (OIF) s’est tenue le jeudi 18 janvier 2024, à Paris. À l’initiative de la secrétaire générale de l’OIF Louise Mushikiwabo, cette rencontre a rassemblé les représentants des États et gouvernements membres de la Francophonie, dont la ministre de la Justice et de la Sécurité d’Haïti, Emmelie Prophète Milcé."
Pierre Marie Boisson dénonce un tort fait aux bénéficiaires des transferts,https://lenouvelliste.com/article/246377/pierre-marie-boisson-denonce-un-tort-fait-aux-beneficiaires-des-transferts,https://media.lenouvelliste.com/articles/2022-04-11/JMB_8281.jpg,"

Pierre Marie Boisson, économiste de la Sogebank et membre du secteur privé des affaires, est invité à analyser chaque début d’année, à l’émission « Grand rendez-vous économique », animée par Kesner Pharel et diffusée sur radio télé Métropole et sur le Web, la situation de l'économie haïtienne et de l’économie mondiale."
